model,rounds,criterion,depth,weight,feature,subsample,bootstrap,learning_rate,best_iter_mean,best_iter_max,cv_loss,cv_std,train_loss,train_std,used_time,folds,Xshape,option,
XGBC,400,binary:logistic,10,30,0.5,1,,0.015,399,,0.464538,0.00368584,0.412355,0.000879443,1885.589404,5,"(114321, 108)",[],
XGBC,400,binary:logistic,10,20,0.5,1,,0.015,399,,0.4641334,0.00381835,0.4020746,0.001252689,1546.02054,5,"(114321, 108)",[],
XGBC,400,binary:logistic,10,10,0.5,1,,0.015,399,,0.4630904,0.003722334,0.3850902,0.001350812,1289.544447,5,"(114321, 108)",[],
XGBC,400,binary:logistic,10,5,0.5,1,,0.015,399,,0.4623782,0.003701178,0.3696302,0.001286732,1344.344174,5,"(114321, 108)",[],
XGBC,400,binary:logistic,10,2,0.5,1,,0.015,399,,0.4614902,0.003734417,0.3539686,0.00159589,1392.692993,5,"(114321, 108)",[],
XGBC,400,binary:logistic,10,1,0.5,1,,0.015,399,,0.4610906,0.003735003,0.3454894,0.001577304,1402.887197,5,"(114321, 108)",[],
XGBC,400,binary:logistic,20,30,0.5,1,,0.015,398,,0.4633024,0.003925643,0.3653778,0.000885352,2039.088288,5,"(114321, 108)",[],
XGBC,400,binary:logistic,20,20,0.5,1,,0.015,399,,0.4627206,0.003814811,0.3333756,0.000987196,2192.326612,5,"(114321, 108)",[],
XGBC,400,binary:logistic,20,10,0.5,1,,0.015,398,,0.4619826,0.004226282,0.2695068,0.001436268,2363.500028,5,"(114321, 108)",[],
XGBC,400,binary:logistic,20,5,0.5,1,,0.015,369,,0.4627008,0.004428192,0.2091342,0.001746379,2582.008578,5,"(114321, 108)",[],
XGBC,400,binary:logistic,20,2,0.5,1,,0.015,254,,0.4660572,0.004573589,0.1734746,0.001210628,2780.436062,5,"(114321, 108)",[],
XGBC,400,binary:logistic,20,1,0.5,1,,0.015,214,,0.4691716,0.004897295,0.1560234,0.000861231,2865.536517,5,"(114321, 108)",[],
XGBC,400,binary:logistic,30,30,0.5,1,,0.015,398,,0.4633196,0.003850971,0.354584,0.001001367,2302.786962,5,"(114321, 108)",[],
XGBC,400,binary:logistic,30,20,0.5,1,,0.015,398,,0.4625902,0.003971733,0.3168014,0.001162221,3182.516682,5,"(114321, 108)",[],
XGBC,400,binary:logistic,30,10,0.5,1,,0.015,398,,0.4626434,0.004042536,0.2410034,0.001304665,3927.436773,5,"(114321, 108)",[],
XGBC,400,binary:logistic,30,5,0.5,1,,0.015,300,,0.4642208,0.004498731,0.1956308,0.001166932,4296.918028,5,"(114321, 108)",[],
XGBC,400,binary:logistic,30,2,0.5,1,,0.015,227,,0.4687362,0.004642252,0.1519188,0.000209492,5339.211693,5,"(114321, 108)",[],
XGBC,400,binary:logistic,30,1,0.5,1,,0.015,179,,0.4726768,0.004793476,0.143123,0.000332848,5729.47487,5,"(114321, 108)",[],
XGBC,400,binary:logistic,40,30,0.5,1,,0.015,398,,0.463418,0.003950042,0.350473,0.001045885,3339.075552,5,"(114321, 108)",[],
XGBC,400,binary:logistic,40,20,0.5,1,,0.015,399,,0.4627224,0.003973875,0.3105496,0.000916584,3888.078215,5,"(114321, 108)",[],
XGBC,400,binary:logistic,40,10,0.5,1,,0.015,373,,0.4628446,0.004418837,0.2381838,0.000903085,3722.434248,5,"(114321, 108)",[],
XGBC,400,binary:logistic,40,5,0.5,1,,0.015,289,,0.46496,0.004395577,0.1927924,0.000583039,3912.736296,5,"(114321, 108)",[],
XGBC,400,binary:logistic,40,2,0.5,1,,0.015,222,,0.4690824,0.004575909,0.1499442,0.00028946,5442.759593,5,"(114321, 108)",[],
XGBC,400,binary:logistic,40,1,0.5,1,,0.015,179,,0.473189,0.005087501,0.1391876,0.00026599,3722.897142,5,"(114321, 108)",[],
XGBC,400,binary:logistic,50,30,0.5,1,,0.015,399,,0.463433,0.00406268,0.3482214,0.000989175,2325.970112,5,"(114321, 108)",[],
XGBC,400,binary:logistic,50,20,0.5,1,,0.015,399,,0.462925,0.004092902,0.307393,0.001068644,2572.655269,5,"(114321, 108)",[],
XGBC,400,binary:logistic,50,10,0.5,1,,0.015,361,,0.4631266,0.004117178,0.2388502,0.000561658,4160.338097,5,"(114321, 108)",[],
XGBC,400,binary:logistic,50,5,0.5,1,,0.015,288,,0.4650594,0.0043547,0.1912754,0.000412447,5045.650361,5,"(114321, 108)",[],
XGBC,400,binary:logistic,50,2,0.5,1,,0.015,226,,0.4694002,0.004871135,0.1468096,0.000189083,5758.147848,5,"(114321, 108)",[],
XGBC,400,binary:logistic,50,1,0.5,1,,0.015,179,,0.4730844,0.004970686,0.13872,0.000351852,4959.211879,5,"(114321, 108)",[],
XGBC,400,binary:logistic,60,30,0.5,1,,0.015,399,,0.4634466,0.004091026,0.3473386,0.000838836,3248.546303,5,"(114321, 108)",[],
XGBC,400,binary:logistic,60,20,0.5,1,,0.015,398,,0.462727,0.004021274,0.3061114,0.000618913,2724.095884,5,"(114321, 108)",[],
XGBC,400,binary:logistic,60,10,0.5,1,,0.015,363,,0.4631738,0.004369821,0.2364454,0.000377989,3109.856458,5,"(114321, 108)",[],
XGBC,400,binary:logistic,60,5,0.5,1,,0.015,273,,0.4651494,0.004074899,0.1977366,0.000365266,3405.9911,5,"(114321, 108)",[],
XGBC,400,binary:logistic,60,2,0.5,1,,0.015,218,,0.4693808,0.004875119,0.1514568,0.000307638,3604.527963,5,"(114321, 108)",[],
XGBC,400,binary:logistic,60,1,0.5,1,,0.015,179,,0.4733366,0.005115611,0.1386518,0.000345324,5037.48087,5,"(114321, 109)",[],
XGBC,1000,binary:logistic,10,2,0.5,0.85,,0.015,826,,0.460140648,0.001618508,0.323511758,0.007688015,2114.316278,5,"(114321, 108)",[],
XGBC,1000,binary:logistic,10,2,0.5,0.85,,0.015,617,,0.460413833,0.001070882,0.322235052,0.010048717,3991.2589,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,1024.2,1138,0.460364668,0.001643447,0.32844543,0.006048594,3923.565972,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1087,1285,0.46098,0.001559216,0.34581643,0.00569363,2719.791145,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,10,0.5,0.85,,0.01,1192.8,1488,0.461823202,0.001607246,0.361328901,0.006939229,3177.116169,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,20,10,0.5,0.85,,0.01,752.8,855,0.461464742,0.001742002,0.271433898,0.007692493,5057.319825,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,1085.6,1330,0.459883077,0.001329876,0.323844793,0.00650899,3301.546516,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1240.2,1478,0.460442527,0.001190743,0.337503541,0.008415797,3142.570808,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,10,0.5,0.85,,0.01,1205.4,1492,0.461214308,0.001229761,0.360114508,0.006343065,2641.69679,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,20,10,0.5,0.85,,0.01,730,832,0.461424054,0.001763576,0.276131031,0.011153002,3145.957435,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,20,20,0.5,0.85,,0.01,866.4,904,0.46174234,0.001349746,0.325599412,0.003152213,3291.505125,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,996.8,1193,0.460642512,0.001386166,0.330798154,0.007150187,3719.844267,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1085.2,1189,0.46126,0.00124946,0.346468859,0.004088255,3738.847839,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,10,0.5,0.85,,0.01,1185.2,1378,0.462038761,0.001005252,0.362067779,0.007529956,3885.848841,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,2,0.5,0.85,,0.01,1030.2,1138,0.459987948,0.001614632,0.331997559,0.004636706,4100.812919,5,"(114321, 108)",[],
XGBC,1500,binary:logistic,10,5,0.5,0.85,,0.01,1288,1498,0.46067,0.001550284,0.339160341,0.010956632,4668.692745,5,"(114321, 108)",[],
RFC,100,gini,10,30,0.5,1,TRUE,,,,0.470431771,0.001051399,,,1060.613566,5,"(114321, 108)",[],
RFC,100,gini,10,20,0.5,1,TRUE,,,,0.470559076,0.001017706,,,1091.408061,5,"(114321, 108)",[],
RFC,100,gini,10,10,0.5,1,TRUE,,,,0.470484911,0.00110715,,,1015.510558,5,"(114321, 108)",[],
RFC,100,gini,10,5,0.5,1,TRUE,,,,0.470507258,0.001175094,,,978.14238,5,"(114321, 108)",[],
